datetime_utc,unix_timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2022-07-19 00:00:00,1658188800,4,1148.22,21.01,19.02,0.5,29.8,49.39,61.31,9.12
2022-07-19 01:00:00,1658192400,4,1054.76,19.22,22.62,0.79,34.81,42.42,52.11,7.79
2022-07-19 02:00:00,1658196000,4,1028.06,16.99,25.36,1.04,36.72,40.2,48.89,7.79
2022-07-19 03:00:00,1658199600,4,921.25,8.61,30.16,3.93,33.86,37.32,44.89,7.6
2022-07-19 04:00:00,1658203200,4,734.33,1.84,24.33,27.54,24.08,30.69,35.74,5.38
2022-07-19 05:00:00,1658206800,4,707.63,0.77,24.33,37.55,23.84,30.43,34.47,4.81
2022-07-19 06:00:00,1658210400,4,707.63,0.49,24.68,42.56,24.08,31.17,34.46,4.56
2022-07-19 07:00:00,1658214000,4,707.63,0.14,23.31,50.07,22.17,32.18,34.86,4.12
2022-07-19 08:00:00,1658217600,4,741,0.08,22.96,61.51,21.93,36.8,39.27,4.05
2022-07-19 09:00:00,1658221200,4,741,0.04,21.93,64.37,20.98,36.14,38.43,3.8
2022-07-19 10:00:00,1658224800,4,767.71,0.01,24.33,50.07,20.74,32.27,34.75,3.89
2022-07-19 11:00:00,1658228400,4,827.79,0.01,28.79,35.05,22.41,31.07,34.04,4.24
2022-07-19 12:00:00,1658232000,4,867.84,0.09,31.19,23.25,24.08,31.75,35.49,4.81
2022-07-19 13:00:00,1658235600,4,974.66,1.22,36.67,9.48,29.33,35.69,40.95,5.95
2022-07-19 14:00:00,1658239200,4,1054.76,5.42,35.3,1.42,32.9,38.86,45.68,6.9
2022-07-19 15:00:00,1658242800,4,1094.82,10.62,29.47,0.19,32.9,39.58,47.63,7.41
2022-07-19 16:00:00,1658246400,4,1108.17,14.75,26.39,0.05,31.95,39.16,48.61,8.04
2022-07-19 17:00:00,1658250000,4,1081.47,17.43,25.7,0.02,30.99,37.12,46.34,7.73
2022-07-19 18:00:00,1658253600,4,1054.76,19.22,26.05,0.01,31.47,37.25,46.25,7.85
2022-07-19 19:00:00,1658257200,4,1041.41,19.22,25.36,0.01,29.8,38.85,47.86,8.23
2022-07-19 20:00:00,1658260800,4,1094.82,20.34,23.99,0,28.13,43.36,52.97,9.12
2022-07-19 21:00:00,1658264400,4,1174.93,23.25,23.31,0,29.09,49.36,59.93,10.26
2022-07-19 22:00:00,1658268000,5,1268.39,27.72,22.96,0,33.86,55.23,65.58,10.13
2022-07-19 23:00:00,1658271600,5,1348.5,30.4,23.31,0,37.67,57.58,67.14,9.5
2022-07-20 00:00:00,1658275200,5,1482.01,31.29,24.68,0.1,43.39,59.37,69.29,10.26
2022-07-22 01:00:00,1658451600,5,3578.19,141.26,69.23,4.2,152.59,212.69,240.72,15.58
2022-07-22 02:00:00,1658455200,5,3738.4,132.32,108.3,11.98,177.38,224.94,256.7,16.09
2022-07-22 03:00:00,1658458800,5,3364.56,83.15,159.03,39.34,186.92,245.15,277.39,13.55
2022-07-22 04:00:00,1658462400,5,1562.12,18.33,91.85,117.3,103.95,144.18,159.62,5.51
2022-07-22 05:00:00,1658466000,5,1028.06,5.81,47.98,163.08,67.71,112.7,123,4.88
2022-07-22 06:00:00,1658469600,5,894.55,2.99,32.22,203.13,57.22,113.37,122.04,4.62
2022-07-22 07:00:00,1658473200,5,794.41,2.1,27.76,203.13,49.59,99.2,106.57,4.75
2022-07-22 08:00:00,1658476800,5,794.41,2.01,34.96,168.8,52.93,82.17,89.13,5.76
2022-07-22 09:00:00,1658480400,5,907.9,1.3,49.35,144.48,66.76,80.81,88.52,7.28
2022-07-22 10:00:00,1658484000,5,1401.9,0.57,86.37,104.43,97.27,96.26,107.81,12.03
2022-07-22 11:00:00,1658487600,5,2002.72,0.14,115.16,52.93,110.63,111.16,129.36,16.72
2022-07-22 12:00:00,1658491200,5,2162.93,0.03,101.45,26.11,85.83,103.12,126.69,15.83
2022-07-22 13:00:00,1658494800,5,2109.53,0.1,75.4,20.38,56.27,92.45,118.9,13.3
2022-07-22 14:00:00,1658498400,5,2189.64,0.71,64.43,11,46.25,94.7,124.56,13.05
2022-07-22 15:00:00,1658502000,5,2243.04,4.81,56.21,2.12,44.82,99.71,132.27,13.55
2022-07-22 16:00:00,1658505600,5,2323.15,14.98,45.93,0.08,43.87,101.44,135.53,13.43
2022-07-22 17:00:00,1658509200,5,2269.74,24.59,38.04,0,39.58,96.21,129.91,11.53
2022-07-22 18:00:00,1658512800,5,2029.42,26.6,32.22,0,32.42,87.92,118.87,10.01
2022-07-22 19:00:00,1658516400,5,2029.42,28.16,27.76,0,23.6,93.3,122.34,10.26
2022-07-22 20:00:00,1658520000,5,2376.56,39.79,23.31,0,24.08,118.22,149.08,13.68
2022-07-22 21:00:00,1658523600,5,2857.21,58.11,21.42,0,32.42,151.95,188.39,21.28
2022-07-22 22:00:00,1658527200,5,3337.86,76.89,22.28,0,44.35,186.91,231.3,31.66
2022-07-22 23:00:00,1658530800,5,3845.21,94.77,21.08,0,44.82,216.92,268.79,27.61
2022-07-23 00:00:00,1658534400,5,4913.33,121.59,21.42,0.14,49.11,265.54,325.81,22.8
2022-07-23 01:00:00,1658538000,5,2109.53,80.47,58.95,0.99,115.39,128.15,154.67,9.88
2022-07-23 02:00:00,1658541600,5,2109.53,89.41,60.32,1.65,131.61,114.39,139.1,11.4
2022-07-23 03:00:00,1658545200,5,2162.93,92.09,62.38,2.68,141.14,108.38,131.93,12.67
2022-07-23 04:00:00,1658548800,5,1522.06,52.3,60.32,2.39,102.04,73.72,88.99,9.12
2022-07-23 05:00:00,1658552400,5,1228.33,33.97,56.89,0.57,80.11,54.73,66.06,7.73
2022-07-23 06:00:00,1658556000,4,1094.82,26.6,54.84,0.47,70.57,43.69,53.2,7.22
2022-07-23 07:00:00,1658559600,4,1188.28,35.76,52.78,0.35,79.15,44.23,53.93,8.87
2022-07-23 08:00:00,1658563200,5,1441.96,56.77,50.72,0.17,99.18,52.36,63.41,11.27
2022-07-23 09:00:00,1658566800,5,1615.52,69.74,49.35,0.2,106.81,55.5,66.87,11.65
2022-07-23 10:00:00,1658570400,5,1815.8,74.21,50.04,0.17,102.04,57.51,69.83,12.16
2022-07-23 11:00:00,1658574000,5,2216.34,85.83,54.84,0.07,103.95,70.07,85.58,12.79
2022-07-23 12:00:00,1658577600,5,2536.77,92.09,63.06,0,102.04,88,108.45,12.67
2022-07-23 13:00:00,1658581200,5,3417.97,99.24,63.06,0,80.11,126.09,159.59,15.45
2022-07-23 14:00:00,1658584800,5,4379.27,111.76,55.52,0,60.56,173.2,220.65,17.99
2022-07-23 15:00:00,1658588400,5,4753.11,118.02,45.93,0,50.54,207.13,260.13,19.25
2022-07-23 16:00:00,1658592000,5,4966.74,123.38,36.33,0,40.53,231.33,279.15,20.27
2022-07-23 17:00:00,1658595600,5,5126.95,132.32,27.76,0,32.9,246.46,284.45,19.51
2022-07-23 18:00:00,1658599200,5,5233.76,139.47,22.62,0,30.99,256.98,284.94,21.53
2022-07-23 19:00:00,1658602800,5,4966.74,135.9,18.68,0,28.13,255.14,274.93,23.31
2022-07-23 20:00:00,1658606400,5,4432.68,121.59,15.94,0,22.41,240.62,254.67,17.73
2022-07-23 21:00:00,1658610000,5,3898.62,103.71,16.62,0,19.55,221.52,232.64,12.03
2022-07-23 22:00:00,1658613600,5,2643.59,59.9,32.9,0,22.65,160.69,169.18,7.66
2022-07-23 23:00:00,1658617200,5,2189.64,44.7,31.87,0,23.37,132.59,141.54,7.92
2022-07-24 00:00:00,1658620800,5,2162.93,41.57,27.08,0.22,28.85,118.82,131.59,10.89
2022-07-24 01:00:00,1658624400,5,1642.23,40.23,31.53,0.49,53.41,76.12,88.52,9.25
2022-07-24 02:00:00,1658628000,5,1628.88,45.6,40.44,0.51,73.43,66.25,80.01,10.89
2022-07-24 03:00:00,1658631600,5,1682.28,52.75,48.67,0.93,95.37,65.36,82,14.06
2022-07-24 04:00:00,1658635200,4,1028.06,19.67,44.55,18.78,62.94,36.22,46.91,8.49
2022-07-24 05:00:00,1658638800,4,781.06,8.72,37.01,46.49,48.16,25.8,33.83,6.52
2022-07-24 06:00:00,1658642400,4,700.95,4.97,29.47,89.41,41.96,26.46,33.44,5.89
2022-07-24 07:00:00,1658646000,4,680.92,2.96,25.7,131.61,40.53,33.71,40.01,5.7
2022-07-24 08:00:00,1658649600,4,674.25,2.12,24.68,148.77,38.62,36.42,42.29,5.83
2022-07-24 09:00:00,1658653200,4,647.54,1.65,23.65,137.33,30.99,31.28,36.64,5.51
2022-07-24 10:00:00,1658656800,4,827.79,2.37,31.87,95.84,31.47,29.79,36.58,7.47
2022-07-24 11:00:00,1658660400,4,1148.22,1.96,43.53,50.78,36.24,33.61,43.6,10.26
2022-07-24 12:00:00,1658664000,4,1348.5,0.29,49.35,18.78,38.62,38.73,52.13,11.4
2022-07-24 13:00:00,1658667600,5,1628.88,3.74,46.61,3.62,38.62,51.12,70.18,12.54
2022-07-24 14:00:00,1658671200,5,1976.01,13.19,38.73,0.13,36.72,68.49,94.02,13.17
2022-07-24 15:00:00,1658674800,5,2243.04,23.25,32.56,0.01,37.19,86.25,118.02,14.69
2022-07-24 16:00:00,1658678400,5,2376.56,29.95,29.13,0,35.29,94.41,129.15,14.82
2022-07-24 17:00:00,1658682000,5,2056.12,26.82,28.45,0,30.04,81.07,112.27,11.02
2022-07-24 18:00:00,1658685600,5,1575.47,19.22,30.16,0.02,29.8,63,88.02,8.74
2022-07-24 19:00:00,1658689200,5,1148.22,14.19,32.9,0.07,36.24,50.6,68.49,7.54
2022-07-24 20:00:00,1658692800,5,1094.82,20.34,34.27,0.02,46.73,53.03,68.67,8.04
2022-07-24 21:00:00,1658696400,5,1161.58,33.53,37.36,0,65.8,61.03,76.15,9.12
2022-07-24 22:00:00,1658700000,5,1188.28,46.04,47.98,0,93.46,66.8,80.26,9.12
2022-07-24 23:00:00,1658703600,5,1335.14,65.27,56.21,0,118.26,80.62,95.01,9.75
2022-07-25 00:00:00,1658707200,5,1615.52,82.25,62.38,1.08,133.51,100.41,117.67,11.15
2022-07-25 01:00:00,1658710800,5,1976.01,93.88,67.86,6.35,144.96,116.39,136.17,12.79
2022-07-25 02:00:00,1658714400,5,2296.45,93.88,81.57,13.05,158.31,127.61,149.22,14.19
2022-07-25 03:00:00,1658718000,5,2429.96,74.21,102.82,25.39,164.03,134.68,156.97,14.57
2022-07-25 04:00:00,1658721600,5,1455.31,23.69,74.03,50.78,95.37,78.29,92.48,8.74
2022-07-25 05:00:00,1658725200,5,1068.12,11.51,57.58,48.64,70.57,52.02,62.62,7.28
2022-07-25 06:00:00,1658728800,4,961.3,5.36,57.58,31.47,63.9,41.42,50.79,7.09
2022-07-25 07:00:00,1658732400,5,1789.09,14.31,71.29,2.21,72.48,62.29,76.73,13.68
2022-07-25 08:00:00,1658736000,5,3578.19,62.58,66.49,0.14,101.09,116,139.92,24.83
2022-07-25 09:00:00,1658739600,5,5393.98,119.81,69.23,0.26,154.5,175.5,207.51,42.05
2022-07-25 10:00:00,1658743200,5,7263.18,178.81,76.09,0.26,207.9,232.26,270.27,56.74
2022-07-25 11:00:00,1658746800,5,8010.86,218.15,73.34,0.04,209.81,259.68,299.49,52.69
2022-07-25 12:00:00,1658750400,5,7583.62,219.94,67.86,0,181.2,255.84,293.73,36.98
2022-07-25 13:00:00,1658754000,5,6462.1,182.39,60.32,0,133.51,222.05,260.35,25.59
2022-07-25 14:00:00,1658757600,5,5554.2,141.26,51.41,0,91.55,199.03,243.85,22.8
2022-07-25 15:00:00,1658761200,5,4753.11,105.5,45.24,0,70.57,179.84,229.86,21.28
2022-07-25 16:00:00,1658764800,5,4005.43,79.57,41.13,0,57.22,157.24,208.83,18.49
2022-07-25 17:00:00,1658768400,5,3124.24,58.11,37.36,0,44.82,119.77,166.47,14.06
2022-07-25 18:00:00,1658772000,5,2323.15,42.02,33.24,0,37.19,88.58,127.6,11.78
2022-07-25 19:00:00,1658775600,5,2269.74,43.36,27.42,0,31.95,94.1,131.33,12.67
2022-07-25 20:00:00,1658779200,5,2643.59,57.22,23.31,0,32.42,123.18,156.68,16.21
2022-07-25 21:00:00,1658782800,5,3097.53,74.21,21.25,0,38.62,157.02,191.01,22.8
2022-07-25 22:00:00,1658786400,5,3524.78,92.98,21.08,0,48.16,191.76,226.23,30.15
2022-07-25 23:00:00,1658790000,5,4112.24,113.55,20.22,0,52.93,227.58,263.94,29.89
2022-07-26 00:00:00,1658793600,5,5340.58,144.84,20.91,0.09,65.8,287.78,336.26,32.42
2022-07-26 01:00:00,1658797200,5,3150.94,119.81,48.67,1.25,131.61,168.49,198.99,19.25
2022-07-26 02:00:00,1658800800,5,3017.43,134.11,61.69,1.97,165.94,157.84,185.51,16.97
2022-07-26 03:00:00,1658804400,5,3070.83,148.42,74.71,1.99,198.36,159.07,184.55,16.97
2022-07-26 04:00:00,1658808000,5,2029.42,81.36,77.46,0.91,139.24,98.4,113.51,10.51
2022-07-26 05:00:00,1658811600,5,1628.88,56.33,72.66,0.63,114.44,71.64,83.06,8.74
2022-07-26 06:00:00,1658815200,5,1535.42,53.64,65.12,0.2,103.95,60.29,70.31,8.23
2022-07-26 07:00:00,1658818800,5,1628.88,63.48,60.32,0.06,107.77,60.49,71.13,9.63
2022-07-26 08:00:00,1658822400,5,1895.9,87.62,61.69,0.34,135.42,70.32,82.76,12.16
2022-07-26 09:00:00,1658826000,5,1976.01,89.41,65.8,0.8,131.61,69.38,81.89,11.65
